model_id,experiment,access,utterance,alpha_hat,kl_bets_vs_logprob,mae_bets_vs_logprob,kl_bets_vs_rsa,mae_bets_vs_rsa,kl_rsa_vs_logprob,mae_rsa_vs_logprob
google--gemma-3-4b-it,exps_numerical,3,1,0.1,0.8818736458957179,0.2265539724465183,0.5628560243702614,0.227493681226457,0.47811261701024554,0.07858442553215426
google--gemma-3-4b-it,exps_numerical,3,2,0.1,1.419137220184349,0.1898805688297588,0.7253263108350614,0.2139695598853751,0.32875149253169184,0.06993102567411905
google--gemma-3-4b-it,exps_numerical,3,3,0.1,2.9816450133111623,0.38350754797415654,0.7741088900456281,0.2691603478931236,0.6983188027488536,0.12747697314899015
google--gemma-3-4b-it,exps_some,1,some,0.1,1.1712020192652102,0.22940358922344453,0.15162354517152235,0.0964538173706474,1.314010933687987,0.28024942465077735
google--gemma-3-4b-it,exps_some,2,some,0.1,0.2919269269626427,0.10116843664391958,0.14717484722145657,0.07533289465063953,0.031804596848248434,0.05250815263454393
google--gemma-3-4b-it,exps_some,3,some,0.1,0.6986231916886305,0.2502603925267987,0.19783709433627544,0.0812322262577896,0.817303149410924,0.24584563295859035
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,1,1,0.1,1.888649655503761,0.4243620271966395,0.0,0.0,1.888649655503761,0.4243620271966395
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,2,1,0.1,1.7810038988757542,0.41576553172071695,0.0,0.0,1.7810038988757542,0.41576553172071695
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,2,2,0.1,0.12458093308821375,0.0891442386535683,10.379396779362162,0.2,0.8634337941429245,0.2891442386535683
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,3,1,0.1,1.783524438295145,0.41597758066744694,0.0,0.0,1.783524438295145,0.41597758066744694
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,3,2,0.1,0.7543491738158197,0.2737691881059277,7.2327152843539695,0.14166666666666666,1.7770977368481191,0.41543585477259437
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,3,3,0.1,0.3126587489118805,0.13425025253755146,0.0,0.0,0.3126587489118805,0.13425025253755146
meta-llama--Llama-3.1-8B-Instruct,exps_some,1,some,0.1,1.376595056182475,0.37378168805422674,0.0,0.0,1.376595056182475,0.37378168805422674
meta-llama--Llama-3.1-8B-Instruct,exps_some,2,some,0.1,1.066727445618633,0.3385537236277672,2.015749109937885,0.04166666666666667,1.428954629941464,0.3802203902944339
